construct,site,inter,predictor,sample,engaged,scrambled,ptm
cp217_int15_inter10,217,10,boltz2,s0,0,5,0.357
cp217_int15_inter10,217,10,boltz2,s1,0,0,0.294
cp217_int15_inter10,217,10,boltz2,s2,5,0,0.365
cp217_int15_inter10,217,10,openfold3,of3,5,0,0.334
cp217_int15_inter15,217,15,boltz2,s0,0,4,0.348
cp217_int15_inter15,217,15,boltz2,s1,0,0,0.302
cp217_int15_inter15,217,15,boltz2,s2,0,5,0.334
cp217_int15_inter15,217,15,openfold3,of3,5,0,0.334
cp217_int15_inter20,217,20,boltz2,s0,0,5,0.348
cp217_int15_inter20,217,20,boltz2,s1,0,5,0.35
cp217_int15_inter20,217,20,boltz2,s2,5,0,0.355
cp217_int15_inter20,217,20,openfold3,of3,5,0,0.332
cp228_int15_inter10,228,10,boltz2,s0,5,0,0.348
cp228_int15_inter10,228,10,boltz2,s1,3,0,0.353
cp228_int15_inter10,228,10,boltz2,s2,3,0,0.357
cp228_int15_inter10,228,10,openfold3,of3,5,0,0.323
cp228_int15_inter15,228,15,boltz2,s0,0,5,0.361
cp228_int15_inter15,228,15,boltz2,s1,0,0,0.293
cp228_int15_inter15,228,15,boltz2,s2,0,0,0.295
cp228_int15_inter15,228,15,openfold3,of3,5,0,0.326
cp228_int15_inter20,228,20,boltz2,s0,5,0,0.353
cp228_int15_inter20,228,20,boltz2,s1,0,5,0.354
cp228_int15_inter20,228,20,boltz2,s2,0,5,0.366
cp228_int15_inter20,228,20,openfold3,of3,5,0,0.322
cp233_int15_inter10,233,10,boltz2,s0,5,0,0.389
cp233_int15_inter10,233,10,boltz2,s1,5,0,0.381
cp233_int15_inter10,233,10,boltz2,s2,5,0,0.395
cp233_int15_inter10,233,10,openfold3,of3,5,0,0.341
cp233_int15_inter15,233,15,boltz2,s0,0,5,0.396
cp233_int15_inter15,233,15,boltz2,s1,5,0,0.393
cp233_int15_inter15,233,15,boltz2,s2,5,0,0.385
cp233_int15_inter15,233,15,openfold3,of3,5,0,0.341
cp233_int15_inter20,233,20,boltz2,s0,5,0,0.383
cp233_int15_inter20,233,20,boltz2,s1,5,0,0.381
cp233_int15_inter20,233,20,boltz2,s2,5,0,0.387
cp233_int15_inter20,233,20,openfold3,of3,5,0,0.344
