link,predictor,n,frac_close,median_engaged
20,boltz2,3,1.0,5.0
20,openfold3,1,1.0,5.0
20,alphafold3,0,,
25,boltz2,3,0.67,5.0
25,openfold3,1,1.0,5.0
25,alphafold3,0,,
30,boltz2,5,1.0,5.0
30,openfold3,1,1.0,5.0
30,alphafold3,0,,
34,boltz2,2,1.0,5.0
34,openfold3,1,1.0,5.0
34,alphafold3,0,,
36,boltz2,3,1.0,5.0
36,openfold3,1,0.0,1.0
36,alphafold3,0,,
38,boltz2,3,1.0,5.0
38,openfold3,1,0.0,1.0
38,alphafold3,0,,
40,boltz2,5,0.8,5.0
40,openfold3,1,0.0,2.0
40,alphafold3,5,0.0,1.0
50,boltz2,3,1.0,5.0
50,openfold3,1,0.0,1.0
50,alphafold3,0,,
