time_ps,lam,W_kcal,planarity_A,radius_A,radiusCV,axial_span_A,n_engaged
2.00,0.004,0.070,0.010,25.621,0.0112,0.081,5
4.00,0.008,0.149,0.055,25.595,0.0102,0.181,5
6.00,0.012,0.133,0.065,25.641,0.0092,0.289,5
8.00,0.016,0.046,0.020,25.611,0.0092,0.284,5
10.00,0.020,-0.026,0.038,25.611,0.0088,0.268,5
12.00,0.024,0.060,0.030,25.563,0.0089,0.103,4
14.00,0.028,0.126,0.055,25.555,0.0118,0.215,5
16.00,0.032,0.255,0.091,25.520,0.0122,0.260,5
18.00,0.036,0.205,0.059,25.530,0.0096,0.229,4
20.00,0.040,0.138,0.067,25.565,0.0098,0.341,5
22.00,0.044,0.054,0.064,25.636,0.0143,0.395,5
24.00,0.048,0.089,0.034,25.634,0.0181,0.281,4
26.00,0.052,0.201,0.005,25.654,0.0152,0.123,5
28.00,0.056,0.312,0.067,25.697,0.0141,0.231,4
30.00,0.060,0.380,0.067,25.631,0.0161,0.289,4
32.00,0.064,0.509,0.043,25.606,0.0173,0.169,5
34.00,0.068,0.572,0.087,25.582,0.0174,0.307,5
36.00,0.072,0.710,0.062,25.608,0.0197,0.219,5
38.00,0.076,0.855,0.066,25.687,0.0193,0.230,5
40.00,0.080,1.124,0.091,25.665,0.0172,0.293,5
42.00,0.084,1.214,0.030,25.645,0.0166,0.272,5
44.00,0.088,1.121,0.115,25.647,0.0151,0.523,5
46.00,0.092,1.109,0.084,25.621,0.0138,0.540,5
48.00,0.096,1.111,0.124,25.536,0.0138,0.503,5
50.00,0.100,1.094,0.132,25.490,0.0153,0.550,5
52.00,0.104,1.186,0.129,25.570,0.0157,0.474,5
54.00,0.108,1.176,0.114,25.542,0.0143,0.534,5
56.00,0.112,1.197,0.083,25.456,0.0138,0.495,5
58.00,0.116,1.277,0.029,25.526,0.0133,0.415,5
60.00,0.120,1.355,0.120,25.526,0.0149,0.514,5
62.00,0.124,1.542,0.083,25.470,0.0153,0.387,5
64.00,0.128,1.708,0.062,25.526,0.0149,0.417,5
66.00,0.132,1.831,0.042,25.422,0.0156,0.445,5
68.00,0.136,1.982,0.040,25.432,0.0146,0.464,5
70.00,0.140,1.951,0.086,25.457,0.0134,0.610,5
72.00,0.144,1.994,0.129,25.350,0.0128,0.645,5
74.00,0.148,2.167,0.091,25.331,0.0148,0.503,5
76.00,0.152,2.348,0.046,25.365,0.0158,0.457,5
78.00,0.156,2.348,0.092,25.358,0.0135,0.655,5
80.00,0.160,2.494,0.111,25.330,0.0110,0.557,5
82.00,0.164,2.594,0.108,25.257,0.0117,0.608,5
84.00,0.168,2.723,0.123,25.207,0.0079,0.633,5
86.00,0.172,2.776,0.132,25.215,0.0075,0.718,5
88.00,0.176,2.947,0.091,25.227,0.0105,0.636,5
90.00,0.180,3.162,0.076,25.299,0.0123,0.518,5
92.00,0.184,3.360,0.076,25.262,0.0143,0.618,5
94.00,0.188,3.430,0.104,25.263,0.0117,0.719,5
96.00,0.192,3.517,0.120,25.334,0.0116,0.745,5
98.00,0.196,3.741,0.109,25.295,0.0107,0.631,5
100.00,0.200,3.913,0.091,25.277,0.0080,0.656,5
102.00,0.204,4.270,0.063,25.354,0.0116,0.546,5
104.00,0.208,4.622,0.073,25.246,0.0128,0.512,5
106.00,0.212,4.711,0.079,25.296,0.0125,0.878,5
108.00,0.216,4.780,0.151,25.311,0.0136,0.893,5
110.00,0.220,4.996,0.084,25.313,0.0158,0.672,5
112.00,0.224,5.023,0.105,25.364,0.0170,0.966,5
114.00,0.228,4.974,0.091,25.281,0.0182,1.068,5
116.00,0.232,5.051,0.122,25.353,0.0161,0.898,5
118.00,0.236,5.285,0.087,25.351,0.0155,0.739,5
120.00,0.240,5.428,0.155,25.414,0.0148,0.914,5
122.00,0.244,5.510,0.151,25.427,0.0144,0.973,5
124.00,0.248,5.536,0.157,25.373,0.0154,1.141,5
126.00,0.252,5.465,0.205,25.402,0.0157,1.188,5
128.00,0.256,5.473,0.147,25.426,0.0162,1.059,5
130.00,0.260,5.560,0.181,25.404,0.0125,1.061,5
132.00,0.264,5.722,0.142,25.410,0.0170,0.983,5
134.00,0.268,5.912,0.121,25.353,0.0187,0.911,5
136.00,0.272,5.901,0.196,25.302,0.0180,1.212,5
138.00,0.276,6.074,0.132,25.284,0.0182,0.977,5
140.00,0.280,6.347,0.077,25.184,0.0162,0.877,5
142.00,0.284,6.574,0.102,25.164,0.0144,0.946,5
144.00,0.288,6.619,0.119,25.203,0.0136,1.190,5
146.00,0.292,6.514,0.191,25.244,0.0157,1.347,5
148.00,0.296,6.460,0.221,25.310,0.0161,1.372,5
150.00,0.300,6.535,0.211,25.338,0.0167,1.268,5
152.00,0.304,6.741,0.203,25.359,0.0175,1.149,5
154.00,0.308,6.910,0.173,25.314,0.0200,1.193,5
156.00,0.312,6.997,0.166,25.334,0.0192,1.286,5
158.00,0.316,6.985,0.191,25.372,0.0189,1.339,5
160.00,0.320,6.950,0.195,25.393,0.0179,1.427,5
162.00,0.324,7.029,0.178,25.357,0.0158,1.339,5
164.00,0.328,7.153,0.177,25.367,0.0141,1.259,5
166.00,0.332,7.304,0.103,25.347,0.0155,1.214,5
168.00,0.336,7.382,0.166,25.290,0.0193,1.326,5
170.00,0.340,7.561,0.138,25.407,0.0171,1.198,5
172.00,0.344,7.840,0.122,25.451,0.0142,1.101,5
174.00,0.348,7.880,0.197,25.432,0.0143,1.429,5
176.00,0.352,7.877,0.267,25.438,0.0151,1.586,5
