time_ps,lam,W_kcal,planarity_A,radius_A,radiusCV,axial_span_A,n_engaged
8.00,0.002,-0.029,0.063,25.457,0.0119,0.276,5
16.00,0.004,-0.087,0.071,25.527,0.0147,0.411,5
24.00,0.006,-0.062,0.052,25.585,0.0144,0.194,5
32.00,0.008,-0.021,0.030,25.644,0.0157,0.177,5
40.00,0.010,-0.006,0.029,25.524,0.0146,0.079,5
48.00,0.012,-0.061,0.045,25.498,0.0165,0.302,5
56.00,0.014,-0.047,0.069,25.515,0.0142,0.249,5
64.00,0.016,0.009,0.022,25.531,0.0147,0.114,4
72.00,0.018,-0.070,0.048,25.368,0.0151,0.277,5
80.00,0.020,-0.156,0.082,25.434,0.0121,0.352,5
88.00,0.022,-0.085,0.050,25.337,0.0172,0.146,5
96.00,0.024,-0.095,0.035,25.475,0.0175,0.272,4
104.00,0.026,-0.091,0.034,25.428,0.0155,0.158,5
112.00,0.028,-0.191,0.045,25.369,0.0183,0.402,5
120.00,0.030,-0.181,0.038,25.388,0.0184,0.285,5
128.00,0.032,-0.178,0.064,25.385,0.0167,0.299,5
136.00,0.034,-0.187,0.102,25.429,0.0166,0.301,5
144.00,0.036,-0.103,0.058,25.323,0.0193,0.164,5
152.00,0.038,-0.028,0.040,25.302,0.0192,0.135,5
160.00,0.040,0.013,0.035,25.344,0.0239,0.160,4
168.00,0.042,-0.011,0.088,25.508,0.0189,0.325,5
176.00,0.044,0.015,0.064,25.398,0.0212,0.191,5
184.00,0.046,0.043,0.062,25.399,0.0231,0.216,5
192.00,0.048,0.067,0.037,25.495,0.0183,0.178,5
200.00,0.050,-0.008,0.080,25.316,0.0221,0.415,5
208.00,0.052,-0.008,0.024,25.395,0.0194,0.357,4
216.00,0.054,0.075,0.083,25.410,0.0197,0.209,4
224.00,0.056,0.087,0.030,25.487,0.0198,0.336,4
232.00,0.058,0.096,0.014,25.398,0.0234,0.329,5
240.00,0.060,0.101,0.017,25.284,0.0226,0.344,5
248.00,0.062,0.177,0.019,25.282,0.0205,0.192,5
256.00,0.064,0.237,0.009,25.246,0.0204,0.190,5
264.00,0.066,0.261,0.075,25.388,0.0199,0.328,5
272.00,0.068,0.239,0.069,25.406,0.0183,0.412,5
280.00,0.070,0.313,0.068,25.422,0.0208,0.180,5
288.00,0.072,0.312,0.064,25.426,0.0221,0.336,5
296.00,0.074,0.300,0.094,25.363,0.0198,0.404,5
304.00,0.076,0.366,0.090,25.349,0.0204,0.304,5
312.00,0.078,0.414,0.092,25.257,0.0163,0.339,5
320.00,0.080,0.516,0.116,25.469,0.0217,0.383,5
328.00,0.082,0.503,0.041,25.425,0.0182,0.429,5
336.00,0.084,0.456,0.133,25.519,0.0173,0.546,5
344.00,0.086,0.420,0.036,25.412,0.0185,0.588,5
352.00,0.088,0.422,0.078,25.397,0.0195,0.479,5
360.00,0.090,0.497,0.056,25.477,0.0215,0.253,5
368.00,0.092,0.505,0.099,25.380,0.0219,0.433,5
376.00,0.094,0.552,0.020,25.335,0.0192,0.440,5
384.00,0.096,0.576,0.036,25.447,0.0223,0.355,5
