time_ps,lam,W_kcal,planarity_A,radius_A,radiusCV,axial_span_A,n_engaged
2.00,0.010,0.276,0.077,25.615,0.0134,0.233,5
4.00,0.020,0.380,0.037,25.604,0.0163,0.099,5
6.00,0.030,0.432,0.019,25.493,0.0154,0.132,5
8.00,0.040,0.424,0.032,25.436,0.0147,0.239,5
10.00,0.050,0.374,0.060,25.441,0.0159,0.270,5
12.00,0.060,0.853,0.044,25.515,0.0165,0.138,5
14.00,0.070,1.207,0.048,25.543,0.0146,0.162,5
16.00,0.080,1.207,0.066,25.465,0.0118,0.395,4
18.00,0.090,1.065,0.073,25.478,0.0087,0.443,5
20.00,0.100,1.514,0.037,25.497,0.0089,0.287,4
22.00,0.110,2.073,0.034,25.558,0.0107,0.337,5
24.00,0.120,2.210,0.077,25.578,0.0105,0.514,5
26.00,0.130,2.163,0.069,25.490,0.0110,0.656,5
28.00,0.140,2.488,0.022,25.466,0.0096,0.596,4
30.00,0.150,2.698,0.054,25.439,0.0115,0.632,5
32.00,0.160,2.868,0.094,25.478,0.0111,0.591,5
34.00,0.170,3.409,0.062,25.460,0.0102,0.471,5
36.00,0.180,3.413,0.099,25.522,0.0088,0.735,5
38.00,0.190,3.762,0.090,25.503,0.0102,0.629,5
40.00,0.200,4.407,0.103,25.516,0.0116,0.601,5
42.00,0.210,4.914,0.048,25.485,0.0112,0.760,5
44.00,0.220,4.600,0.138,25.525,0.0114,1.035,4
46.00,0.230,4.324,0.118,25.467,0.0098,1.022,5
48.00,0.240,4.177,0.105,25.535,0.0082,1.010,4
50.00,0.250,4.524,0.130,25.536,0.0083,0.959,5
52.00,0.260,4.819,0.145,25.547,0.0094,1.066,5
54.00,0.270,4.938,0.177,25.505,0.0103,1.121,5
56.00,0.280,4.816,0.219,25.469,0.0089,1.307,5
58.00,0.290,5.146,0.157,25.436,0.0075,1.080,4
60.00,0.300,5.651,0.140,25.488,0.0103,1.035,5
62.00,0.310,6.181,0.156,25.467,0.0122,1.088,5
64.00,0.320,6.909,0.157,25.454,0.0090,1.055,5
66.00,0.330,7.145,0.195,25.443,0.0115,1.375,4
68.00,0.340,7.569,0.189,25.452,0.0130,1.275,5
70.00,0.350,8.220,0.211,25.427,0.0133,1.268,4
72.00,0.360,9.121,0.235,25.463,0.0131,1.248,5
74.00,0.370,9.760,0.207,25.558,0.0149,1.331,4
76.00,0.380,10.137,0.244,25.554,0.0146,1.513,5
78.00,0.390,10.636,0.209,25.504,0.0129,1.448,4
80.00,0.400,11.329,0.187,25.547,0.0113,1.384,5
82.00,0.410,12.007,0.271,25.598,0.0157,1.554,5
84.00,0.420,12.533,0.290,25.626,0.0171,1.671,4
86.00,0.430,13.399,0.262,25.595,0.0166,1.545,5
88.00,0.440,13.988,0.259,25.578,0.0161,1.665,4
90.00,0.450,14.486,0.279,25.480,0.0145,1.762,4
92.00,0.460,15.151,0.291,25.474,0.0130,1.754,4
94.00,0.470,15.995,0.324,25.482,0.0146,1.770,4
96.00,0.480,16.424,0.366,25.437,0.0156,1.998,5
98.00,0.490,16.696,0.321,25.404,0.0193,2.032,5
100.00,0.500,17.189,0.350,25.412,0.0202,2.039,5
102.00,0.510,17.592,0.349,25.389,0.0195,2.099,4
104.00,0.520,18.137,0.416,25.418,0.0166,2.207,4
106.00,0.530,18.498,0.412,25.392,0.0146,2.294,5
108.00,0.540,18.768,0.408,25.404,0.0161,2.339,4
110.00,0.550,18.996,0.377,25.443,0.0161,2.341,5
112.00,0.560,19.463,0.398,25.364,0.0167,2.324,4
114.00,0.570,20.142,0.394,25.363,0.0160,2.293,4
116.00,0.580,20.643,0.419,25.328,0.0175,2.429,5
118.00,0.590,21.205,0.422,25.383,0.0166,2.446,5
120.00,0.600,21.572,0.470,25.358,0.0166,2.621,5
122.00,0.610,21.499,0.488,25.301,0.0179,2.820,4
124.00,0.620,21.987,0.447,25.353,0.0173,2.600,4
126.00,0.630,22.658,0.478,25.352,0.0171,2.630,4
128.00,0.640,22.940,0.494,25.382,0.0181,2.820,5
130.00,0.650,23.022,0.542,25.356,0.0205,2.993,4
132.00,0.660,23.134,0.469,25.358,0.0190,2.882,4
134.00,0.670,23.711,0.453,25.346,0.0181,2.753,4
136.00,0.680,24.201,0.418,25.361,0.0194,2.752,4
138.00,0.690,24.926,0.479,25.345,0.0185,2.812,5
140.00,0.700,25.277,0.549,25.402,0.0181,3.082,4
142.00,0.710,25.512,0.599,25.426,0.0169,3.234,4
144.00,0.720,25.803,0.541,25.408,0.0182,3.157,4
146.00,0.730,26.110,0.525,25.423,0.0187,3.157,4
148.00,0.740,26.585,0.522,25.410,0.0201,3.127,5
150.00,0.750,27.347,0.530,25.386,0.0183,3.085,4
152.00,0.760,28.107,0.551,25.367,0.0189,3.152,4
154.00,0.770,28.491,0.603,25.339,0.0180,3.386,5
156.00,0.780,28.946,0.577,25.314,0.0190,3.343,5
158.00,0.790,29.653,0.611,25.297,0.0196,3.358,4
160.00,0.800,30.393,0.607,25.317,0.0191,3.369,4
162.00,0.810,30.391,0.627,25.343,0.0193,3.684,4
164.00,0.820,30.846,0.587,25.287,0.0201,3.504,5
166.00,0.830,31.529,0.599,25.282,0.0191,3.481,5
168.00,0.840,31.815,0.661,25.298,0.0169,3.751,5
170.00,0.850,32.230,0.627,25.307,0.0162,3.674,4
172.00,0.860,32.601,0.704,25.236,0.0162,3.858,5
174.00,0.870,32.974,0.704,25.154,0.0179,3.886,5
176.00,0.880,33.076,0.708,25.248,0.0205,4.010,5
178.00,0.890,33.556,0.650,25.236,0.0165,3.831,5
180.00,0.900,34.241,0.648,25.282,0.0165,3.793,5
182.00,0.910,34.849,0.677,25.287,0.0166,3.902,5
184.00,0.920,35.330,0.718,25.268,0.0167,4.042,5
186.00,0.930,35.727,0.714,25.322,0.0165,4.097,5
188.00,0.940,36.261,0.663,25.301,0.0184,3.998,5
190.00,0.950,36.899,0.632,25.279,0.0184,3.946,5
192.00,0.960,37.759,0.658,25.192,0.0192,3.950,5
194.00,0.970,38.660,0.712,25.235,0.0174,4.056,5
196.00,0.980,39.576,0.730,25.196,0.0152,4.118,4
198.00,0.990,40.249,0.688,25.181,0.0144,4.159,5
200.00,1.000,40.922,0.738,25.153,0.0179,4.271,5
