site,int,inter,M2_engaged,handedness,M1_ring,M1_sequential,radius,radius_CV,mean_R146_A,iface_pLDDT,AF3_confirmed
233,20,10,5/5,designed(k->k+1),True,YES,25.8,0.00,5.11,64.1,
285,20,10,5/5,designed(k->k+1),True,YES,25.9,0.00,5.83,65.2,
233,15,10,5/5,designed(k->k+1),True,YES,25.5,0.00,5.84,63.0,yes
233,10,10,5/5,designed(k->k+1),True,YES,25.5,0.00,6.1,62.6,
285,15,10,5/5,designed(k->k+1),True,YES,25.9,0.00,6.45,62.1,yes
285,15,15,5/5,designed(k->k+1),True,YES,25.9,0.01,5.29,63.1,
285,10,20,5/5,designed(k->k+1),True,YES,26.5,0.01,5.29,62.5,
285,10,15,5/5,designed(k->k+1),True,YES,25.6,0.01,5.31,62.5,
285,15,20,5/5,designed(k->k+1),True,YES,25.8,0.01,5.42,62.8,
233,15,15,5/5,mirror(k->k-1),True,YES,26.2,0.01,5.5,62.9,
233,20,15,5/5,designed(k->k+1),True,YES,25.6,0.01,5.72,63.5,
233,10,20,5/5,designed(k->k+1),True,YES,25.0,0.01,5.84,62.1,
233,10,15,5/5,designed(k->k+1),True,YES,25.2,0.01,5.94,63.6,
285,10,10,5/5,designed(k->k+1),True,YES,26.0,0.01,5.96,63.4,
233,15,20,5/5,designed(k->k+1),True,YES,25.2,0.01,5.97,63.6,
233,20,20,5/5,mirror(k->k-1),True,YES,26.2,0.02,5.63,63.1,
297,10,20,5/5,designed(k->k+1),True,YES,24.9,0.03,6.46,59.5,
285,20,15,5/5,mirror(k->k-1),True,YES,28.5,0.04,5.75,63.6,
297,15,15,5/5,designed(k->k+1),True,YES,24.4,0.05,5.73,62.9,
297,20,20,5/5,designed(k->k+1),True,YES,24.2,0.05,6.55,63.3,
297,20,15,5/5,designed(k->k+1),True,YES,24.8,0.05,6.75,63.6,
297,15,20,5/5,designed(k->k+1),True,YES,23.8,0.05,6.88,62.1,
297,20,10,5/5,designed(k->k+1),True,YES,24.6,0.06,6.08,63.7,
297,10,10,5/5,designed(k->k+1),True,YES,24.5,0.06,6.11,62.2,
297,15,10,5/5,designed(k->k+1),True,YES,24.2,0.06,6.58,61.9,yes
297,10,15,5/5,designed(k->k+1),True,YES,24.2,0.06,6.73,60.7,
285,20,20,5/5,designed(k->k+1),True,YES,26.9,0.08,4.76,63.1,
