rank,construct_id,family,cp_site,n_subunits,total_len,junction_A,stroke_A,topo_score,planar_compat,func_score,length_risk_score,static_composite_heuristic,notes,fold_module_core_RMSD,fold_Cdomain_RMSD,fold_interface_contacts,fold_R146_trans_min,fold_core_pLDDT,fold_predictors,fold_predictor_agreement,fold_note
1,gp16_CP280_2mer,CP-ordered,280,2,719,27.0,3.0,0.82,0.8,1.0,0.95,0.899,CP@280; junction 27.0 Å; low stroke preserves planar↔helical cycling,14.73,19.12,147.0,58.5,73.9,Boltz-2;Chai-1,"qualitative agreement (N-dom native, C-dom broken@CP280, R146 lost@CP280)",CP cut@280 bisects C-domain; interface+R146 NOT reformed; static rank overturned by fold (F5)
2,gp16_CP297_2mer,CP-ordered,297,2,714,24.7,6.2,0.87,0.59,1.0,0.95,0.87,CP@297; junction 24.7 Å; low stroke preserves planar↔helical cycling,,,,,,,,
3,gp16_CP280_3mer,CP-ordered,280,3,1086,27.0,3.0,0.82,0.8,1.0,0.69,0.859,CP@280; junction 27.0 Å; low stroke preserves planar↔helical cycling,,,,,,,,
4,gp16_CP297_3mer,CP-ordered,297,3,1076,24.7,6.2,0.87,0.59,1.0,0.7,0.831,CP@297; junction 24.7 Å; low stroke preserves planar↔helical cycling,,,,,,,,
5,gp16_CP280_4mer,CP-ordered,280,4,1453,27.0,3.0,0.82,0.8,1.0,0.43,0.82,CP@280; junction 27.0 Å; low stroke preserves planar↔helical cycling,,,,,,,,
6,gp16_CP297_4mer,CP-ordered,297,4,1438,24.7,6.2,0.87,0.59,1.0,0.44,0.793,CP@297; junction 24.7 Å; low stroke preserves planar↔helical cycling,,,,,,,,
7,gp16_CP280_5mer,CP-ordered,280,5,1820,27.0,3.0,0.82,0.8,1.0,0.16,0.781,CP@280; junction 27.0 Å; low stroke preserves planar↔helical cycling,,,,,,,,
8,gp16_CP297_5mer,CP-ordered,297,5,1800,24.7,6.2,0.87,0.59,1.0,0.18,0.754,CP@297; junction 24.7 Å; low stroke preserves planar↔helical cycling,,,,,,,,
9,gp16_nativefus_2mer,native-fusion-baseline,none(native),2,684,66.1,13.2,0.04,0.12,0.3,0.98,0.357,native C-term(res330) is DNA-channel contact; 66 Å seam; expected FAIL (negative control),9.72,11.24,64.0,4.7,74.0,Boltz-2;Chai-1,"qualitative agreement (N-dom native, C-dom broken@CP280, R146 lost@CP280)","Subunit fold + R146 interface better preserved than CP280, but res330 C-term still fouls DNA channel (ring-geometry negative control)"
10,gp16_nativefus_3mer,native-fusion-baseline,none(native),3,1041,66.1,13.2,0.04,0.12,0.3,0.72,0.319,native C-term(res330) is DNA-channel contact; 66 Å seam; expected FAIL (negative control),,,,,,,,
11,gp16_nativefus_4mer,native-fusion-baseline,none(native),4,1398,66.1,13.2,0.04,0.12,0.3,0.47,0.28,native C-term(res330) is DNA-channel contact; 66 Å seam; expected FAIL (negative control),,,,,,,,
12,gp16_nativefus_5mer,native-fusion-baseline,none(native),5,1755,66.1,13.2,0.04,0.12,0.3,0.21,0.242,native C-term(res330) is DNA-channel contact; 66 Å seam; expected FAIL (negative control),,,,,,,,
ring-ref,native_ring_5xWT,ring-context-reference,none,5,1660,,,,,,,,5 separate WT chains; closed pentamer; symmetric apo ring (planar-like),,,,6.6,,Boltz-2;Chai-1,"engaged 15/15 Boltz, 50/50 Chai","REFERENCE: R146 engaged all interfaces (Boltz median 6.6Å, Chai 2.8Å)"
ring-1,B1_L40_in_ring,covalent-dimer-in-ring,none(native-order),2+3WT,1690,,,,,,,,native-order covalent dimer (res4-330 - GS40 - res4-330) + 3 WT; ONE position genetically defined,,,,5.8,,Boltz-2;Chai-1,"engaged 15/15 Boltz, 47/50 Chai; tether seats 6/6, 20/20",WINNER: reforms R146 as reliably as native ring; cross-checked; PASS
ring-2,B1_L32_in_ring,covalent-dimer-in-ring,none(native-order),2+3WT,1682,,,,,,,,native-order covalent dimer (GS32) + 3 WT,,,,5.7,,Boltz-2;Chai-1,"engaged 15/15 Boltz, 45/50 Chai; tether seats 6/6, 19/20",PASS: reforms R146 ~ native ring; slightly below L40 in Chai tether seats
